Time,M1_RR,M2_RL,M3_FR,M4_FL,V_batt,Theta,Phi,Psi,PosX,PosY,BaroAlt,LidarPulse,SetX,SetZ,SetY,SetYaw
1.240,198.0,185.0,180.0,188.0,10.39,0.007,0.007,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.250,166.0,214.0,210.0,156.0,10.39,0.001,0.001,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.260,198.0,185.0,180.0,187.0,10.39,-0.001,-0.002,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.270,195.0,184.0,183.0,190.0,10.38,-0.012,-0.006,0.021,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.280,200.0,184.0,183.0,186.0,10.38,-0.031,-0.013,0.021,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.290,144.0,124.0,128.0,132.0,10.38,-0.050,-0.017,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.300,195.0,184.0,183.0,190.0,10.38,-0.051,-0.013,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.310,142.0,121.0,126.0,129.0,10.38,-0.041,-0.005,0.021,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.320,233.0,223.0,223.0,229.0,10.38,-0.021,-0.001,0.021,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.330,236.0,224.0,221.0,228.0,10.38,-0.004,0.000,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.340,200.0,183.0,187.0,190.0,10.38,0.003,0.001,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.350,165.0,98.0,98.0,158.0,10.38,0.003,0.001,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.360,199.0,180.0,185.0,188.0,10.38,-0.001,-0.001,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.370,253.0,202.0,207.0,244.0,10.38,-0.013,-0.004,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.380,147.0,121.0,127.0,134.0,10.38,-0.030,-0.013,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.390,219.0,160.0,165.0,208.0,10.38,-0.050,-0.023,0.020,0.32493,-0.27948,-0.011,0.0,0.000,0.000,5.000,0.000
1.400,216.0,162.0,163.0,209.0,10.38,-0.056,-0.029,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.410,237.0,216.0,224.0,231.0,10.38,-0.058,-0.033,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.420,167.0,98.0,99.0,158.0,10.38,-0.027,-0.020,0.021,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.430,238.0,216.0,224.0,231.0,10.38,-0.002,-0.004,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.440,238.0,216.0,224.0,231.0,10.37,0.007,0.004,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.450,142.0,116.0,128.0,145.0,10.37,0.015,0.007,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.460,219.0,160.0,167.0,208.0,10.37,0.010,0.007,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.470,201.0,175.0,185.0,194.0,10.37,0.003,0.000,0.020,0.32493,-0.27948,-0.005,0.0,0.000,0.000,5.000,0.000
1.480,199.0,177.0,184.0,197.0,10.37,-0.003,-0.012,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.490,199.0,178.0,185.0,197.0,10.37,-0.003,-0.017,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.500,164.0,211.0,216.0,162.0,10.37,-0.002,-0.009,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.510,167.0,208.0,219.0,160.0,10.37,0.000,-0.001,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.520,198.0,179.0,186.0,196.0,10.37,0.000,0.001,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.530,197.0,179.0,187.0,196.0,10.37,0.000,0.001,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.540,199.0,177.0,190.0,193.0,10.37,0.000,0.000,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.550,234.0,219.0,226.0,233.0,10.37,0.000,0.000,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.560,201.0,179.0,191.0,194.0,10.37,0.000,0.000,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.570,164.0,211.0,218.0,163.0,10.37,0.000,0.000,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.580,200.0,181.0,189.0,190.0,10.37,0.000,0.000,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.590,207.0,248.0,251.0,201.0,10.37,0.004,-0.003,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.600,144.0,127.0,132.0,137.0,10.36,0.011,-0.012,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.610,198.0,184.0,189.0,191.0,10.36,0.023,-0.023,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.620,200.0,182.0,191.0,190.0,10.36,0.024,-0.035,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.630,198.0,184.0,189.0,192.0,10.36,0.024,-0.049,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.640,168.0,213.0,217.0,161.0,10.36,0.012,-0.042,0.019,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.650,170.0,214.0,219.0,163.0,10.35,0.002,-0.020,0.019,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.660,197.0,190.0,190.0,195.0,10.35,-0.002,-0.004,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.670,199.0,188.0,191.0,192.0,10.35,-0.002,0.002,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.680,144.0,129.0,134.0,136.0,10.35,-0.001,0.002,0.020,0.32514,-0.27966,-0.005,0.0,0.000,0.000,5.000,0.000
1.690,199.0,188.0,192.0,194.0,10.35,0.000,0.000,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.700,68.0,54.0,46.0,57.0,10.35,0.000,0.000,0.019,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.710,207.0,248.0,250.0,202.0,10.35,0.000,0.000,0.019,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.720,197.0,191.0,187.0,191.0,10.35,0.000,0.000,0.019,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.730,198.0,194.0,189.0,192.0,10.35,0.000,0.000,0.019,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.740,12.0,101.0,99.0,0.0,10.35,0.000,0.000,0.019,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.750,237.0,225.0,228.0,223.0,10.35,-0.002,-0.002,0.019,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.760,203.0,190.0,194.0,188.0,10.35,-0.010,-0.006,0.019,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.770,71.0,56.0,53.0,50.0,10.35,-0.025,-0.009,0.019,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.780,234.0,227.0,226.0,225.0,10.35,-0.011,-0.005,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.790,145.0,137.0,135.0,131.0,10.34,-0.003,-0.007,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.800,211.0,251.0,249.0,200.0,10.35,0.004,-0.003,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.810,145.0,137.0,136.0,130.0,10.34,0.003,0.001,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.820,106.0,167.0,161.0,95.0,10.34,-0.006,0.000,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.830,137.0,142.0,128.0,132.0,10.34,-0.003,0.000,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.840,171.0,219.0,210.0,158.0,10.34,-0.009,-0.003,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.850,230.0,234.0,224.0,226.0,10.34,-0.003,-0.002,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.860,196.0,197.0,189.0,188.0,10.34,0.000,0.000,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.870,194.0,200.0,187.0,190.0,10.34,0.001,0.000,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
1.880,139.0,140.0,131.0,130.0,10.34,0.000,0.000,0.020,0.32534,-0.27958,-0.005,0.0,0.000,0.000,5.000,0.000
